hotel_name,locality,price,rating,score,review,link
Highgrove Guesthouse,"Sandton, Johannesburg","R 6,860",Superb,9.2,244 reviews,https://www.booking.com/hotel/za/highgrove-guesthouse.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=383978902_233589953_2_41_0&highlighted_blocks=383978902_233589953_2_41_0&matching_block_id=383978902_233589953_2_41_0&sr_pri_blocks=383978902_233589953_2_41_0__686000&from=searchresults
Bright and cosy Maboneng,"Johannesburg CBD, Johannesburg (Maboneng)","R 2,117",NA,NA,NA,https://www.booking.com/hotel/za/bright-and-cosy-maboneng.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=1464092401_417713469_2_0_0&highlighted_blocks=1464092401_417713469_2_0_0&matching_block_id=1464092401_417713469_2_0_0&sr_pri_blocks=1464092401_417713469_2_0_0__211680&from=searchresults
StayEasy Eastgate,Johannesburg,"R 3,375",Good,7.8,"2,121 reviews",https://www.booking.com/hotel/za/stayeasy-eastgate.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=1090721804_407938703_2_1_0_275208&highlighted_blocks=1090721804_407938703_2_1_0_275208&matching_block_id=1090721804_407938703_2_1_0_275208&sr_pri_blocks=1090721804_407938703_2_1_0_275208_337500&from=searchresults
Linaste at Colosseum,"Johannesburg CBD, Johannesburg","R 1,872",NA,NA,NA,https://www.booking.com/hotel/za/linaste-at-colosseum.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=1465797401_417902447_2_0_0&highlighted_blocks=1465797401_417902447_2_0_0&matching_block_id=1465797401_417902447_2_0_0&sr_pri_blocks=1465797401_417902447_2_0_0__187200&from=searchresults
Garden Court Sandton City,"Sandton, Johannesburg","R 6,106",Very good,8.3,"8,584 reviews",https://www.booking.com/hotel/za/garden-court-sandton-city.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=29519201_397919791_2_1_0&highlighted_blocks=29519201_397919791_2_1_0&matching_block_id=29519201_397919791_2_1_0&sr_pri_blocks=29519201_397919791_2_1_0__610555&from=searchresults
Amoris Guest House In Sandton,"Sandton, Johannesburg","R 2,520",Superb,9.3,3 reviews,https://www.booking.com/hotel/za/amoris-guest-house-in-sandton.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=1461262501_417424318_2_0_0&highlighted_blocks=1461262501_417424318_2_0_0&matching_block_id=1461262501_417424318_2_0_0&sr_pri_blocks=1461262501_417424318_2_0_0__252000&from=searchresults
Mmanokeng Suit,Johannesburg,"R 2,520",Good,7.1,20 reviews,https://www.booking.com/hotel/za/mmanokeng-suit.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=1298821601_402777317_2_0_0&highlighted_blocks=1298821601_402777317_2_0_0&matching_block_id=1298821601_402777317_2_0_0&sr_pri_blocks=1298821601_402777317_2_0_0__252000&from=searchresults
Home Suite Hotels Rosebank,"Saxonwold, Johannesburg","R 8,181",Superb,9.3,"1,715 reviews",https://www.booking.com/hotel/za/home-suite-hotels-bristol-johannesburg.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=446103302_175207606_0_1_0&highlighted_blocks=446103302_175207606_0_1_0&matching_block_id=446103302_175207606_0_1_0&sr_pri_blocks=446103302_175207606_0_1_0__818064&from=searchresults
The Tyrwhitt Rosebank Apartments,"Rosebank, Johannesburg (Rosebank)","R 4,222",Very good,8.0,243 reviews,https://www.booking.com/hotel/za/the-tyrwhitt-apartments.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=594420017_376653077_2_0_0&highlighted_blocks=594420017_376653077_2_0_0&matching_block_id=594420017_376653077_2_0_0&sr_pri_blocks=594420017_376653077_2_0_0__422190&from=searchresults
Gallo Manor Executive Bed & Breakfast,"Gallo Manor, Johannesburg","R 4,000",Very good,8.3,384 reviews,https://www.booking.com/hotel/za/gallo-manor-executive-bed-amp-breakfast.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-05&dest_id=-1240261&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=2421d14d3c56e95e98a10b014945c3db&srepoch=1753716160&all_sr_blocks=686263703_376848530_2_2_0&highlighted_blocks=686263703_376848530_2_2_0&matching_block_id=686263703_376848530_2_2_0&sr_pri_blocks=686263703_376848530_2_2_0__400000&from=searchresults
