hotel_name,locality,price,rating,score,review,link
The Beach Hotel,"Summerstrand, Port Elizabeth","ZAR 5,148",Very good,8.4,"1,912 reviews",https://www.booking.com/hotel/za/the-beach.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-04&dest_id=-1273448&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=20ab472bc90f0a6f&srepoch=1753697240&all_sr_blocks=42113801_333361839_0_1_0_499765&highlighted_blocks=42113801_333361839_0_1_0_499765&matching_block_id=42113801_333361839_0_1_0_499765&sr_pri_blocks=42113801_333361839_0_1_0_499765_514800&from=searchresults
Paxton Luxury Apartments self-catering,Port Elizabeth,"ZAR 3,161",Good,7.2,815 reviews,https://www.booking.com/hotel/za/paxton-luxury-apartments-port-elizabeth.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-04&dest_id=-1273448&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=20ab472bc90f0a6f&srepoch=1753697240&all_sr_blocks=696406401_404759098_0_0_0_265255&highlighted_blocks=696406401_404759098_0_0_0_265255&matching_block_id=696406401_404759098_0_0_0_265255&sr_pri_blocks=696406401_404759098_0_0_0_265255_316050&from=searchresults
"Radisson Blu Hotel, Port Elizabeth","Summerstrand, Port Elizabeth","ZAR 6,633",Very good,8.0,"2,609 reviews",https://www.booking.com/hotel/za/radisson-blu-port-elizabeth.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-04&dest_id=-1273448&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=20ab472bc90f0a6f&srepoch=1753697240&all_sr_blocks=17121903_94110300_2_41_0&highlighted_blocks=17121903_94110300_2_41_0&matching_block_id=17121903_94110300_2_41_0&sr_pri_blocks=17121903_94110300_2_41_0__663300&from=searchresults
SUN1 PORT ELIZABETH,Port Elizabeth,"ZAR 2,220",Good,7.9,"2,291 reviews",https://www.booking.com/hotel/za/sun1-port-elizabeth.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-04&dest_id=-1273448&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=20ab472bc90f0a6f&srepoch=1753697240&all_sr_blocks=311442501_368902262_0_0_0_504750&highlighted_blocks=311442501_368902262_0_0_0_504750&matching_block_id=311442501_368902262_0_0_0_504750&sr_pri_blocks=311442501_368902262_0_0_0_504750_222000&from=searchresults
Beachway Guesthouse,"Summerstrand, Port Elizabeth","ZAR 1,950",Good,7.4,"1,101 reviews",https://www.booking.com/hotel/za/beachway-b-amp-b.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-04&dest_id=-1273448&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=20ab472bc90f0a6f&srepoch=1753697240&all_sr_blocks=212626201_348383416_2_0_0&highlighted_blocks=212626201_348383416_2_0_0&matching_block_id=212626201_348383416_2_0_0&sr_pri_blocks=212626201_348383416_2_0_0__195000&from=searchresults
Blue Yellow Door Home,"Port Elizabeth Central, Port Elizabeth","ZAR 2,025",Good,7.9,35 reviews,https://www.booking.com/hotel/za/blue-yellow-door-home.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-04&dest_id=-1273448&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=20ab472bc90f0a6f&srepoch=1753697240&all_sr_blocks=588591404_346696915_2_0_0&highlighted_blocks=588591404_346696915_2_0_0&matching_block_id=588591404_346696915_2_0_0&sr_pri_blocks=588591404_346696915_2_0_0__202500&from=searchresults
Admirals Lodge Guest House and Brightways self catering apartments,"Summerstrand, Port Elizabeth","ZAR 2,850",Fabulous,8.6,345 reviews,https://www.booking.com/hotel/za/admiral-s-lodge-guest-house.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-04&dest_id=-1273448&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=20ab472bc90f0a6f&srepoch=1753697240&all_sr_blocks=68417418_340013533_2_42_0&highlighted_blocks=68417418_340013533_2_42_0&matching_block_id=68417418_340013533_2_42_0&sr_pri_blocks=68417418_340013533_2_42_0__285000&from=searchresults
Palm Beach Guesthouse,"Summerstrand, Port Elizabeth","ZAR 3,780",Very good,8.5,370 reviews,https://www.booking.com/hotel/za/palm-beach-guesthouse.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-04&dest_id=-1273448&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=20ab472bc90f0a6f&srepoch=1753697240&all_sr_blocks=40462604_200903554_2_1_0&highlighted_blocks=40462604_200903554_2_1_0&matching_block_id=40462604_200903554_2_1_0&sr_pri_blocks=40462604_200903554_2_1_0__378000&from=searchresults
Bluewater Beachfront Guest House,"Bluewater Bay, Port Elizabeth","ZAR 2,592",Very good,8.1,45 reviews,https://www.booking.com/hotel/za/bluewater-beachfront-guest-house.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-04&dest_id=-1273448&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=20ab472bc90f0a6f&srepoch=1753697240&all_sr_blocks=17132006_91145476_0_0_0&highlighted_blocks=17132006_91145476_0_0_0&matching_block_id=17132006_91145476_0_0_0&sr_pri_blocks=17132006_91145476_0_0_0__259200&from=searchresults
Marine48 Self-catering Port Elizabeth,Port Elizabeth,"ZAR 2,250",Good,7.0,279 reviews,https://www.booking.com/hotel/za/schoenmakerskop-self-catering-apartments.en-gb.html?label=en-za-booking-desktop-6vl3YhHpuvNniarrGnwKowS652796016207%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-51481728%3Alp1028624%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-08-01&checkout=2025-08-04&dest_id=-1273448&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=20ab472bc90f0a6f&srepoch=1753697240&all_sr_blocks=270406406_335388640_2_0_0&highlighted_blocks=270406406_335388640_2_0_0&matching_block_id=270406406_335388640_2_0_0&sr_pri_blocks=270406406_335388640_2_0_0__225000&from=searchresults
